object_type,object_id,st_astext
way,48226374,POINT (37.015356 -1.107180)
way,313522536,POINT (37.015157 -1.106955)
way,293292483,POINT (37.097475 -1.053163)
way,198110950,POINT (32.578120 0.308904)
way,198110947,POINT (32.578056 0.308982)
way,198110947,POINT (32.578127 0.308985)
way,45343652,POINT (32.590643 0.329204)
way,116497544,POINT (32.624759 0.369421)
way,116497544,POINT (32.627807 0.369483)
way,116497544,POINT (32.624759 0.369421)
way,116497544,POINT (32.627807 0.369483)
way,169498248,POINT (35.276032 0.516184)
way,208575257,POINT (11.468293 3.833857)
way,208575257,POINT (11.468868 3.833716)
way,223358785,POINT (11.466733 3.832830)
way,223359105,POINT (11.467068 3.834168)
way,208578493,POINT (11.472827 3.833777)
way,208570964,POINT (11.489799 3.842994)
way,207591586,POINT (11.488610 3.836110)
way,208570963,POINT (11.485986 3.850521)
way,198851048,POINT (11.522187 3.845857)
way,198976429,POINT (11.539199 3.908468)
way,59071832,POINT (9.749020 4.049183)
way,59068028,POINT (9.764924 4.093145)
way,261559033,POINT (9.284753 4.162159)
way,261559034,POINT (9.287125 4.163541)
way,365769700,POINT (9.285174 4.164655)
way,178402828,POINT (7.009210 4.824675)
way,30653083,POINT (-3.949238 5.308878)
way,331604789,POINT (-4.020181 5.341695)
way,331604780,POINT (-4.020165 5.341838)
way,331604780,POINT (-4.019635 5.341783)
way,328072056,POINT (-3.947010 5.339484)
way,325918232,POINT (-3.989846 5.345944)
way,366285712,POINT (-3.986616 5.349953)
way,321053176,POINT (5.806799 5.502194)
way,321053176,POINT (5.806777 5.502178)
way,12700679,POINT (-0.213484 5.535963)
way,314553823,POINT (-0.344533 5.546217)
way,29659367,POINT (-0.254939 5.576901)
way,24385689,POINT (-0.232693 5.587369)
way,29694793,POINT (-0.233411 5.587572)
way,295273113,POINT (-0.224293 5.599621)
way,295273113,POINT (-0.224303 5.599599)
way,337484204,POINT (-0.224277 5.599592)
way,99606736,POINT (-0.015853 5.661891)
way,30025980,POINT (-0.026580 5.682066)
way,172446086,POINT (-0.026490 5.681859)
way,42603144,POINT (5.614725 6.294572)
way,42506555,POINT (5.618891 6.304130)
way,42682792,POINT (5.608163 6.312512)
way,226061298,POINT (5.585276 6.329086)
way,225784396,POINT (5.597105 6.330331)
way,225784396,POINT (5.596031 6.329858)
way,42500064,POINT (5.623304 6.343241)
way,368805556,POINT (2.391283 6.357733)
way,368805556,POINT (2.391264 6.357264)
way,368805549,POINT (2.392792 6.359235)
way,368805549,POINT (2.392788 6.359232)
way,42573498,POINT (5.608545 6.395074)
way,267617512,POINT (7.503303 6.420412)
way,316757129,POINT (3.555715 6.463520)
way,281423964,POINT (3.290504 6.465333)
way,318177477,POINT (3.660138 6.470111)
way,220659497,POINT (3.157537 6.484520)
way,220639863,POINT (3.199146 6.494716)
way,220639909,POINT (3.199162 6.492883)
way,113643301,POINT (3.248729 6.519454)
way,113640102,POINT (3.253617 6.516115)
way,353946841,POINT (3.380497 6.522270)
way,353946831,POINT (3.381198 6.517830)
way,113526412,POINT (3.218701 6.532659)
way,370658012,POINT (3.322360 6.538750)
way,370301930,POINT (3.328382 6.548767)
way,220667114,POINT (3.300041 6.569290)
way,220667107,POINT (3.300697 6.568948)
way,220667085,POINT (3.301349 6.568608)
way,370661389,POINT (3.302001 6.566220)
way,370661392,POINT (3.302625 6.565888)
way,370661404,POINT (3.302866 6.567847)
way,370661404,POINT (3.303513 6.567535)
way,370661404,POINT (3.304148 6.567228)
way,370661397,POINT (3.303296 6.565531)
way,370661397,POINT (3.303905 6.565206)
way,8164363,POINT (3.367835 6.571619)
way,370661412,POINT (3.329015 6.603741)
way,136333561,POINT (3.375419 6.599670)
way,370186353,POINT (3.483754 6.627715)
way,230902900,POINT (3.852133 7.340645)
way,123120912,POINT (3.882481 7.377506)
way,366391531,POINT (3.951964 7.405157)
way,366391531,POINT (3.952109 7.405704)
way,366391531,POINT (3.951253 7.402469)
way,366391531,POINT (3.951017 7.401580)
way,366391531,POINT (3.951833 7.404660)
way,97397720,POINT (3.897379 7.421140)
way,97222244,POINT (3.901058 7.426867)
way,97222340,POINT (3.906351 7.432082)
way,372270202,POINT (4.566869 7.785994)
way,372270202,POINT (4.564371 7.782429)
way,372270202,POINT (4.564107 7.782051)
way,220513413,POINT (4.580723 8.465795)
way,220503149,POINT (4.579921 8.483147)
way,240002060,POINT (4.594232 8.494534)
way,203930185,POINT (4.576168 8.500977)
way,220507578,POINT (4.585242 8.501256)
way,176976486,POINT (38.798933 8.981273)
way,187332833,POINT (7.492977 9.034351)
way,187332833,POINT (7.493214 9.034162)
way,30062444,POINT (7.493033 9.034463)
way,30062444,POINT (7.493277 9.034294)
way,371537885,POINT (7.466639 9.037925)
way,172161643,POINT (7.468838 9.038659)
way,371538142,POINT (7.472155 9.039934)
way,371538142,POINT (7.478430 9.043129)
way,371538142,POINT (7.481181 9.044881)
way,371538142,POINT (7.481347 9.044987)
way,371538142,POINT (7.472155 9.039934)
way,371538142,POINT (7.478430 9.043129)
way,371538142,POINT (7.481181 9.044881)
way,371538142,POINT (7.481347 9.044987)
