way_id,geom
198110947,"MULTIPOINT ((32.578056 0.308982), (32.578127 0.308985))"
45343652,"POINT (32.590643 0.329204)"
116497544,"MULTIPOINT ((32.624759 0.369421), (32.627807 0.369483))"
116497544,"MULTIPOINT ((32.624759 0.369421), (32.627807 0.369483))"
169498248,"POINT (35.276032 0.516184)"
208575257,"MULTIPOINT ((11.468293 3.833857), (11.468868 3.833716))"
223358785,"POINT (11.466733 3.832830)"
223359105,"POINT (11.467068 3.834168)"
208578493,"POINT (11.472827 3.833777)"
208570964,"POINT (11.489799 3.842994)"
207591586,"POINT (11.488610 3.836110)"
208570963,"POINT (11.485986 3.850521)"
198851048,"POINT (11.522187 3.845857)"
198976429,"POINT (11.539199 3.908468)"
59071832,"POINT (9.749020 4.049183)"
59068028,"POINT (9.764924 4.093145)"
261559033,"POINT (9.284753 4.162159)"
261559034,"POINT (9.287125 4.163541)"
365769700,"POINT (9.285174 4.164655)"
178402828,"POINT (7.009210 4.824675)"
30653083,"POINT (-3.949238 5.308878)"
331604789,"POINT (-4.020181 5.341695)"
331604780,"MULTIPOINT ((-4.020165 5.341838), (-4.019635 5.341783))"
328072056,"POINT (-3.947010 5.339484)"
325918232,"POINT (-3.989846 5.345944)"
366285712,"POINT (-3.986616 5.349953)"
321053176,"MULTIPOINT ((5.806799 5.502194), (5.806777 5.502178))"
12700679,"POINT (-0.213484 5.535963)"
314553823,"POINT (-0.344533 5.546217)"
29659367,"POINT (-0.254939 5.576901)"
24385689,"POINT (-0.232693 5.587369)"
29694793,"POINT (-0.233411 5.587572)"
295273113,"MULTIPOINT ((-0.224293 5.599621), (-0.224303 5.599599))"
337484204,"POINT (-0.224277 5.599592)"
99606736,"POINT (-0.015853 5.661891)"
30025980,"POINT (-0.026580 5.682066)"
172446086,"POINT (-0.026490 5.681859)"
42603144,"POINT (5.614725 6.294572)"
42506555,"POINT (5.618891 6.304130)"
42682792,"POINT (5.608163 6.312512)"
226061298,"POINT (5.585276 6.329086)"
225784396,"MULTIPOINT ((5.597105 6.330331), (5.596031 6.329858))"
42500064,"POINT (5.623304 6.343241)"
368805556,"MULTIPOINT ((2.391283 6.357733), (2.391264 6.357264))"
368805549,"MULTIPOINT ((2.392792 6.359235), (2.392788 6.359232))"
42573498,"POINT (5.608545 6.395074)"
267617512,"POINT (7.503303 6.420412)"
316757129,"POINT (3.555715 6.463520)"
281423964,"POINT (3.290504 6.465333)"
318177477,"POINT (3.660138 6.470111)"
220659497,"POINT (3.157537 6.484520)"
220639863,"POINT (3.199146 6.494716)"
220639909,"POINT (3.199162 6.492883)"
113643301,"POINT (3.248729 6.519454)"
113640102,"POINT (3.253617 6.516115)"
353946841,"POINT (3.380497 6.522270)"
353946831,"POINT (3.381198 6.517830)"
113526412,"POINT (3.218701 6.532659)"
370658012,"POINT (3.322360 6.538750)"
370301930,"POINT (3.328382 6.548767)"
220667114,"POINT (3.300041 6.569290)"
220667107,"POINT (3.300697 6.568948)"
220667085,"POINT (3.301349 6.568608)"
370661389,"POINT (3.302001 6.566220)"
370661392,"POINT (3.302625 6.565888)"
370661404,"MULTIPOINT ((3.302866 6.567847), (3.303513 6.567535), (3.304148 6.567228))"
370661397,"MULTIPOINT ((3.303296 6.565531), (3.303905 6.565206))"
8164363,"POINT (3.367835 6.571619)"
370661412,"POINT (3.329015 6.603741)"
136333561,"POINT (3.375419 6.599670)"
370186353,"POINT (3.483754 6.627715)"
230902900,"POINT (3.852133 7.340645)"
123120912,"POINT (3.882481 7.377506)"
366391531,"MULTIPOINT ((3.951964 7.405157), (3.952109 7.405704), (3.951253 7.402469), (3.951017 7.401580), (3.951833 7.404660))"
97397720,"POINT (3.897379 7.421140)"
97222244,"POINT (3.901058 7.426867)"
97222340,"POINT (3.906351 7.432082)"
372270202,"MULTIPOINT ((4.566869 7.785994), (4.564371 7.782429), (4.564107 7.782051))"
220513413,"POINT (4.580723 8.465795)"
220503149,"POINT (4.579921 8.483147)"
240002060,"POINT (4.594232 8.494534)"
203930185,"POINT (4.576168 8.500977)"
220507578,"POINT (4.585242 8.501256)"
176976486,"POINT (38.798933 8.981273)"
187332833,"MULTIPOINT ((7.492977 9.034351), (7.493214 9.034162))"
30062444,"MULTIPOINT ((7.493033 9.034463), (7.493277 9.034294))"
371537885,"POINT (7.466639 9.037925)"
172161643,"POINT (7.468838 9.038659)"
371538142,"MULTIPOINT ((7.472155 9.039934), (7.478430 9.043129), (7.481181 9.044881), (7.481347 9.044987))"
371538142,"MULTIPOINT ((7.472155 9.039934), (7.478430 9.043129), (7.481181 9.044881), (7.481347 9.044987))"
371537919,"MULTIPOINT ((7.481230 9.044801), (7.481397 9.044906))"
371515114,"POINT (7.500793 9.043772)"
174722972,"POINT (7.477218 9.051108)"
188837216,"POINT (7.477370 9.051206)"
371537886,"MULTIPOINT ((7.483806 9.046883), (7.483918 9.046953))"
371538142,"MULTIPOINT ((7.483950 9.046648), (7.484068 9.046723))"
371537922,"POINT (7.484171 9.046563)"
188152418,"POINT (7.486344 9.050959)"
258412651,"POINT (7.486447 9.051027)"
